Category,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
Asset/Liability,Which of the following is considered an asset?,Credit card balance,Savings account,Student loan,Mortgage,B
Asset/Liability,What is a liability?,Something that increases your wealth,Something you owe to someone else,A type of investment,Money in your savings account,B
Asset/Liability,Which of these is typically a liability?,Car loan,Cash,Stocks,Rental property income,A
Asset/Liability,A house you own and live in is usually classified as:,Liability,Expense,Asset,Debt,C
Asset/Liability,Which of the following is NOT an asset?,Bonds,Savings,Credit card debt,Real estate,C
Asset/Liability,Net worth is calculated by:,Assets − Liabilities,Income − Expenses,Assets + Liabilities,Savings − Income,A
Asset/Liability,A laptop used for freelancing work can be classified as:,Liability,Asset,Debt,Expense,B
Asset/Liability,Which is the best example of a liability?,Retirement account,Mortgage loan,Investment portfolio,Emergency fund,B
Asset/Liability,"If you have £10,000 savings and £3,000 credit card debt, your net worth is:",£13,000,£10,000,£7,000,−£7,000,C
Asset/Liability,Which of these increases your assets?,Paying a loan,Buying stocks,Using a credit card,Taking a loan,B
Asset/Liability,What category does cash fall under?,Liability,Asset,Debt,Expense,B
Asset/Liability,A student loan is classified as:,Asset,Liability,Investment,Savings,B
Asset/Liability,Which item could generate income and be considered an asset?,Rental property,Credit card,Payday loan,Utility bill,A
Asset/Liability,Your net worth increases if:,Liabilities increase,Assets decrease,Assets increase,Expenses increase,C
Asset/Liability,Which is NOT part of assets?,Cash,Investments,Loans owed by you,Property,C
Asset/Liability,A car purchased with a loan means:,Asset only,Liability only,Both asset and liability,Neither,C
Asset/Liability,Which of the following represents ownership value?,Debt,Equity,Liability,Expense,B
Asset/Liability,Which is a liquid asset?,House,Land,Cash,Furniture,C
Asset/Liability,"If liabilities exceed assets, your net worth is:",Positive,Neutral,Negative,Zero,C
Asset/Liability,Which of the following is easiest to convert to cash?,Real estate,Gold jewelry,Savings account,Car,C
Asset/Liability,Which financial statement lists assets and liabilities?,Income statement,Balance sheet,Budget report,Expense sheet,B
Investments,What is the main purpose of investing?,Spend money,Grow wealth over time,Avoid taxes,Reduce income,B
Investments,Which investment usually has the highest risk?,Government bonds,Savings accounts,Stocks,Treasury bills,C
Investments,Diversification means:,Buying only one stock,Spreading investments across assets,Avoiding investments,Holding only cash,B
Investments,What does compound interest mean?,Interest only on principal,Interest on interest earned,Fixed interest rate,Interest paid once,B
Investments,An ETF is:,A loan,A diversified investment fund traded on exchanges,A type of tax,A savings account,B
Investments,Which investment is generally considered safest?,Crypto,Government bonds,Penny stocks,Options trading,B
Investments,What does ROI stand for?,Rate of Income,Return on Investment,Risk of Investment,Return on Income,B
Investments,Which investment gives ownership in a company?,Bonds,Stocks,Savings accounts,Certificates of deposit,B
Investments,Passive investing usually involves:,Frequent trading,Index funds,Gambling,Day trading,B
Investments,What is a dividend?,Loan repayment,Company profit distributed to shareholders,Tax deduction,Interest payment,B
Investments,A bear market means:,Prices rising,Prices falling,Stable prices,No trading,B
Investments,Inflation affects investments by:,Increasing purchasing power,Reducing purchasing power,Eliminating interest,Increasing taxes,B
Investments,Which strategy reduces risk?,Diversification,Borrowing money,Gambling,Investing randomly,A
Investments,Index funds track:,Individual companies,Market indexes,Gold prices,Cryptocurrency,B
Investments,Long-term investing usually benefits from:,Compound growth,Short-term trading,Gambling,Timing the market,A
Investments,Risk tolerance refers to:,Income level,Ability to handle investment losses,Savings account balance,Spending habits,B
Investments,Which is a common retirement investment?,Pension fund,Lottery tickets,Payday loans,Credit cards,A
Investments,Capital gains occur when:,An asset is sold for profit,Interest is paid,Debt increases,Taxes rise,A
Investments,Liquidity in investments means:,Risk level,Ease of converting to cash,Tax benefits,Growth potential,B
Investments,The power of compounding works best with:,Time,Loans,Debt,Spending,A
Budgeting,A budget is:,A spending plan,A loan,An investment,A tax,A
Budgeting,The 50/30/20 rule divides income into:,Saving taxes loans,Needs wants savings,Debt rent food,Cash credit stocks,B
Budgeting,Fixed expenses are:,Changing every month,Same each month,Random spending,Investments,B
Budgeting,Example of a fixed expense:,Groceries,Rent,Entertainment,Shopping,B
Budgeting,Variable expenses include:,Rent,Mortgage,Dining out,Insurance,C
Budgeting,Emergency funds should ideally cover:,1 month expenses,3-6 months expenses,1 year expenses,10 years expenses,B
Budgeting,The first step in budgeting is:,Track income and expenses,Invest money,Take a loan,Spend less,A
Budgeting,Overspending occurs when:,Income greater than expenses,Expenses greater than income,Savings increase,Debt decreases,B
Budgeting,Which tool helps manage budgets?,Budgeting apps,Credit cards,Loans,Investments,A
Budgeting,Discretionary spending means:,Mandatory bills,Optional spending,Taxes,Rent,B
Budgeting,Saving money helps:,Increase debt,Build financial security,Reduce income,Increase taxes,B
Budgeting,Needs include:,Netflix,Rent,Gaming,Vacations,B
Budgeting,Wants include:,Utilities,Food,Designer clothes,Rent,C
Budgeting,A balanced budget means:,Income equals expenses,Expenses greater than income,Debt increases,No spending,A
Budgeting,Which expense is usually essential?,Internet for work,Luxury watch,Designer shoes,Gaming console,A
Budgeting,Budgeting helps you:,Overspend,Control finances,Increase debt,Avoid income,B
Budgeting,Which category should be prioritized first?,Luxury spending,Needs,Entertainment,Shopping,B
Budgeting,What does saving regularly build?,Wealth,Debt,Taxes,Bills,A
Budgeting,Which habit improves budgeting success?,Tracking spending,Ignoring expenses,Spending impulsively,Borrowing frequently,A
Budgeting,Budget reviews should be done:,Never,Monthly,Every 10 years,Once,B
Debt Management,Debt management means:,Ignoring debt,Controlling and repaying debt,Increasing loans,Avoiding savings,B
Debt Management,Which debt usually has the highest interest rate?,Mortgage,Credit card debt,Student loan,Government bonds,B
Debt Management,Minimum payment on a credit card means:,Paying full balance,Smallest required payment,No payment needed,Interest free payment,B
Debt Management,High interest debt should be:,Ignored,Paid off quickly,Increased,Delayed,B
Debt Management,Debt snowball strategy means:,Paying smallest debts first,Paying largest debts first,Ignoring debts,Taking new loans,A
Debt Management,Debt avalanche strategy focuses on:,Lowest balance,Highest interest rate,Random payment,No payment,B
Debt Management,A good credit score helps you:,Get better loan terms,Increase taxes,Reduce income,Avoid savings,A
Debt Management,Late payments can:,Improve credit score,Hurt credit score,Increase savings,Reduce debt,B
Debt Management,Consolidating debt means:,Ignoring debt,Combining multiple debts into one,Creating new debts,Cancelling loans,B
Debt Management,A mortgage is:,Loan for property,Investment fund,Savings account,Tax,A
Debt Management,Interest on debt means:,Money you earn,Money paid for borrowing,Tax refund,Savings bonus,B
Debt Management,Defaulting on a loan means:,Paying early,Failing to repay,Increasing savings,Investing money,B
Debt Management,Payday loans are usually:,Low interest,High interest,Free,Investments,B
Debt Management,Debt to income ratio measures:,Income vs spending,Debt relative to income,Savings vs debt,Assets vs debt,B
Debt Management,Good debt example:,Mortgage for a home,Gambling loan,Payday loan,Luxury shopping debt,A
Debt Management,Bad debt example:,Education loan,Investment loan,High interest credit card debt,Mortgage,C
Debt Management,Credit utilization refers to:,Percentage of credit used,Income level,Tax payments,Savings rate,A
